debate_audio_id,turn_id,speaker_raw,n_words,n_words_matched,start_sec,end_sec,duration_sec,text
1001,1001_t0011,DUKAKIS,399,171,392.772,454.66,61.888,"I’m saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention. And Mr. Bush is right – the two go hand in hand. But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don’t understand that that sends out a very, very bad message to our young people, it’s a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you. Now, I’ve outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together. But we also have to take demand seriously. You know, we have five percent of the world’s population in this country. We’re consuming 50 percent of the world’s cocaine. And in my state I’m proud to say we’ve organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country. We’re helping youngsters; we’re reaching out to them. And we’re beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and that’s the kind of effort we need in every elementary school in the United States of America. And we’ve got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances. I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country. If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or don’t pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country."
1001,1001_t0012,LEHRER,7,7,456.296,458.401,2.105,"A minute to rebut, Mr. Vice President."
1001,1001_t0013,BUSH,171,167,458.862,524.68,65.818,"Well, the other day my opponent was given a briefing by the CIA. I asked for and received the same briefing. I am very careful in public life about dealing with classified information. And what I’m about to say is unclassified. Seven administrations were dealing with Mr. Noriega. It was the Reagan-Bush administration that brought this man to justice. And as the governor of Massachusetts knows, there was no evidence that governor – that Mr. Noriega was involved in drugs, no hard evidence until we indicted him. And so I think it’s about time we get this Noriega matter in perspective. Panama is a friendly country. I went down there and talked to the president of Panama about cleaning up their money laundering, and Mr. Noriega was there, but there was no evidence at that time, and when the evidence was there, we indicted him. And we want to bring him to justice. And so call off all those pickets out there that are trying to tear down seven different administrations."
1001,1001_t0014,LEHRER,23,21,526.095,531.938,5.843,"All right, the next question will be asked by John Mashek. It goes to Governor Dukakis, and you’ll have two minutes to answer."
1001,1001_t0015,MASHEK,50,50,532.678,551.188,18.51,"Governor Dukakis, another troublesome issue for voters this year is the bulging federal deficit. In a Dukakis administration, you say taxes will be raised only as a last resort. Would you identify for us then please three specific programs that you are willing to cut to bring that deficit down?"
1001,1001_t0016,DUKAKIS,420,386,552.106,669.548,117.442,"Yes, I’ve been very specific about those, John. And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that’s balanced ten budgets in a row, I’ve had to make those tough decisions and those tough choices. First, I’ve suggested that there are certain weapons systems which we don’t need and we can’t afford. Mr. Bush has been critical of me for that, but I think those are the kinds of tough choices you have to make. I’ve also suggested that there are weapons systems that we should proceed on, and I’ve outlined those in detail. Secondly, we’ve got to invest in economic growth in this country, in every part of this country. Building that kind of growth expands revenues and helps to bring down that deficit. Thirdly, we have to bring interest rates down, and we will as we come up with a good, solid plan with the Congress for bringing that deficit down. And, finally, we’ve got to go out there and collect billions and billions of dollars in taxes owed that aren’t being paid to this country. It’s very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected. I’ve also suggested that on the domestic side there are areas where we can make some cuts. We ought to be able to come up with an agricultural policy in this country that gives our farm families a fair price and a decent future without spending $20-25 billion a year, which is what we’ve been doing under this administration. We can help people to live better lives, and at the same time save money by helping hundreds of thousands of families on welfare to get off or welfare, and to become productive citizens again. The thing I don’t understand about Mr. Bush’s approach to this is how he could possibly be serious about bringing that deficit down given what he says he wants to do. He seems to want to spend a great deal of money on just about every weapon system; he says he’s against new taxes, although he’s broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break. He also wants to spend a lot of money on additional programs. If he keeps this up, he’s going to be the Joe Isuzu of American politics."
1001,1001_t0017,DUKAKIS,17,14,670.779,681.116,10.337,But I hope you won’t take my five seconds away from me. I will say this –
1001,1001_t0018,LEHRER,6,0,681.267,682.025,0.757,"Your two minutes is up, Governor."
1001,1001_t0019,DUKAKIS,41,36,682.176,691.59,9.414,"If he’s serious about what he’s saying, then the only place he can go to balance that budget is to raid the Social Security Trust Fund, and he tried that in 1985, and I think he’s going to try it again."
1001,1001_t0020,LEHRER,6,6,692.191,693.253,1.062,You have a minute to rebut.
1001,1001_t0021,BUSH,17,17,693.273,698.519,5.246,Is this the time to unleash our one-liners? That answer was about as clear as Boston harbor.
1001,1001_t0022,BUSH,172,160,708.055,769.684,61.629,"Let me help the governor. There are so many things there, I don’t quite know where to begin. When you cut capital gains, you put people to work. John Kennedy proposed cutting capital gains. Paul Tsongas, a liberal senator from Massachusetts said the dumbest thing I did was to oppose the capital gains cut. It’s not going to cost the government money. It’s going to increase revenues to the federal government, and it’s going to create jobs. So that’s one of the things that I think makes a big difference between us. Massachusetts doesn’t have an enormous defense budget, but nevertheless, the governor raised taxes five different times. That happens to be a fact. And so let’s kind of stay on the issue, and I have made a specific proposal for what I call a flexible freeze. And it permits – economists on the East Coast and West think it’s good – it permits the president to sort out the priorities, and we continue to grow because I will not raise taxes."
1001,1001_t0023,LEHRER,8,8,769.724,771.545,1.821,"Your time is up, too. A follow-up, John."
1001,1001_t0024,MASHEK,77,74,772.257,798.991,26.734,"Mr. Vice President, you have vowed not to raise taxes of any kind during your administration and at the same time you’ve proposed this capital gains cut, you’ve proposed more incentive breaks for the oil industry. You’ve suggested new spending programs and even some Republicans say the flexible freeze you just spoke about will hardly make a dent in the deficit. Is the deficit no longer really a concern of yours, the Republican Party or the taxpayers?"
1001,1001_t0025,BUSH,333,288,799.251,914.361,115.11,"I think it’s the Republican Party and my concern to bring it down. And presidential leadership that I want to provide in this area will bring it down, but we’ve got to get the Democrats – Congress under control. They do all the spending, they appropriate every dime and tell us how to spend every dime. I’d like to ask the Governor to join in getting for the president what 43 governors have, the line-item veto. He has to operate in Massachusetts under a balanced budget proviso. I would like a balanced budget amendment. But the dynamics of the economy – we cut the taxes and revenues are up by 25 percent in three years. So the problem is – it’s not that the working is being taxed too little or the person working out – the woman working in some factory being taxed too little. It is that we are continuing to spend too much. So, my formula says grow at the rate of inflation. Permit the president to set the priorities on where we do the spending. And remember the Federal deficit has come down $70 billion in one year, in 1987. And if we – and the – actually this year Congress is doing a little better in controlling the growth of spending. Spending was only up something like 4 percent. So, it isn’t that we’re taking too little – from taxpayer – we’re spending too much still. And the formula I’ve given you works, we’ve put it through a good economic model, we’ve got good economists on the West Coast, Michael Boskin and Marty Feldstein up there who’s a very respected economist in the – Massachusetts. And they agree, that if we can do what I’ve said, we can get it down without going and socking the American taxpayer once again. Capital gains, one more point on that, please let’s learn from history. A capital gains differential will increase jobs, increase risk taking, increase revenues to the Federal Government."
1001,1001_t0026,LEHRER,7,7,914.982,916.522,1.54,"Governor, you have a minute to rebut."
1001,1001_t0027,DUKAKIS,181,168,916.683,966.808,50.125,"Well, I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully. What he’s proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we’re going to give to people making $200,000 a year. Why that’s more than the average teacher makes. We’ve had enough of that, ladies and gentlemen. We’ve run up more debt in the last eight years than under all the presidents from George Washington to Jimmy Carter combined. It’s time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country."
1001,1001_t0028,LEHRER,25,21,968.406,974.687,6.281,"All right, the next question will be asked by Anne Groer and it will go the Vice President. You have two minutes to answer, sir."
1001,1001_t0029,GROER,60,58,974.727,996.233,21.506,"Mr. Vice President, you’ve said you want a kinder, gentler presidency, one that helps the less fortunate. Today, 37 million Americans including many working families with aging parents and young children cannot afford any health insurance, but earn too much to qualify for Medicaid. What will you do to provide protection for them and how will you pay for it?"
1001,1001_t0030,BUSH,360,330,996.773,1109.925,113.152,"One thing I will not do is sock every business in the country and, thus, throw some people out of work. I want to keep this economic recovery going. More Americans at work today than any time in history, a greater percentage of the work force. What I will do is permit people to buy into Medicaid. I believe that’s the answer. I am proud to have been part of an administration that past the first catastrophic health bill. And in that there are some Medicaid provisions that will be very helpful to the very kind of people we’re talking about here. But we’ve got to keep going forward without killing off the engine and throwing people out of work. So, the answer lies, it seems to me, in full enforcement of the catastrophic program. It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also – I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, “We can’t make it.” And I think then you’re going to see that people are put out of work. All these programs – and this cost on his – is – was – I saw an estimate, I’d love to know what he thinks, $35 – $40 billion – and it seems to me that somebody pays that. There isn’t any such thing as something free out there. It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete. So, I think we ought to do it in the Medicaid system. I think we ought to do it by full enforcement of the catastrophic health insurance. I think we ought to do it by everybody doing what they can do out of conscience. It’s a terrible problems in terms of flexibility on private insurance. But I just don’t want to mandate it and risk putting this – setting the recovery back."
1001,1001_t0031,LEHRER,3,0,1110.15,1110.601,0.451,"A rebuttal, Governor?"
1001,1001_t0032,DUKAKIS,5,4,1110.826,1112.908,2.082,"But, George, that’s no answer."
1001,1001_t0033,BUSH,9,7,1113.749,1115.65,1.901,"You don’t like the answer, but it’s an answer."
1001,1001_t0034,DUKAKIS,227,207,1115.67,1173.028,57.358,"Well, no, it’s no answer to those 37 million people, most of them members of working families who don’t have a dime of health insurance and don’t know how to pay the bills if their kids get sick at night. I was in Houston on Tuesday meeting with a group of good citizens, working citizens. All of them with little or no health insurance. One of them was a father who had been laid off a few months ago and lost his health insurance. Has an 11 year old son and can’t let that son compete in sports and Little League, because he’s afraid he’s going to get hurt and he won’t be able to provide health insurance to pay those bills. My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state. The fact of the matter is that employers who today are insuring their employees are paying the freight, because they’re paying for those who aren’t. And I think it’s time that when you got a job in this country it came with health insurance. That’s the way we’re going to provide basic health security for all of the citizens of this country of ours."
1001,1001_t0035,LEHRER,2,0,1173.717,1174.405,0.689,"Follow-up, Anne?"
1001,1001_t0036,GROER,115,108,1175.094,1215.075,39.981,"Yes. Since your Massachusetts health plan has been attacked by the Vice President and you have defended it in this way, I would like to move on to perhaps one of the most costly medical catastrophes facing Americans today and that is AIDS. In – at the end of September, the thousands of AIDS patients will lose their access to AZT, which is the only Federally approved drug for treatment of the disease. Now, I’d like to now, sir, if – what your position is on extending that and what it is you think the government ought to be doing about making AZT and other drugs available to people who are suffering from this disease."
1001,1001_t0037,DUKAKIS,112,103,1215.335,1247.767,32.432,"Well, Anne, let me just say before I answer your question that I didn’t know that the Vice President attacked our program in Massachusetts. I hope he hasn’t. Because has won the support of a great many people all over the state and I think it’s a model for what I hope we can do across the country. But when I proposed my plan this past Tuesday, he or one of his spokesmen called it socialized medicine. The last time the Vice President used that phrase, I suspect he remembers it, don’t you? It was in 1964 and that’s what he called Medicare. Well, he was wrong then and he’s wrong now."
1001,1001_t0038,LEHRER,39,38,1257.81,1269.678,11.868,"If I may interrupt at this point and caution the audience as I did before we went on the air, please hold it down. You’re only taking time away from your candidate when you do that. Governor, continue, please."
1001,1001_t0039,DUKAKIS,227,222,1270.461,1340.773,70.312,"Let me say this about AIDS. It’s the single most important public health crisis, single most important public health emergency we’ve had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS. I think we have to demonstrate some flexibility and I think the FDA is attempting to do so now in trying to make it possible for new and experimental drugs to be available to people who are at risk at AIDS and I would hope that we could bring that kind of a policy to bear beginning in January. And I would encourage the current administration to proceed with that kind of flexibility where it’s appropriate and where it’s done carefully and responsibly. But we have not had the kind of leadership we should have had. In this particular area, I think the Vice President and I are in general agreement on what we have to do. The special Federal commission made good solid recommendations. I think we’re both supportive of them and I would strongly lead in that area as I have in my state as Governor."
1001,1001_t0040,LEHRER,7,7,1341.774,1343.295,1.521,"Mr. Vice President, a minute of rebuttal."
1001,1001_t0041,BUSH,184,176,1343.936,1404.892,60.956,"Well, we’re on the right track. The NIH is doing a good job in research. The Surgeon General is doing a good job in encouraging the proper kind of education. I notice that the Governor did not mention any testing. But we got to have a knowledge base. Testing should be confidential, but we have to have a knowledge. We can’t simply stick our heads in the sands in terms of testing. I’m Chairman of the President’s Task Force on Regulatory Relief and we are working with the FDA and they have sped up bringing drugs to market that can help. And you got to be careful here, because there’s a safety factor, but I think these things – and then also I am one who believes we’ve got to go the extra mile in clean – being sure that that blood supply is pure. We cannot have a lack of confidence in the blood supply when it comes to operations and surgery and things of this nature. So, research, speeding the drugs to market, testing, blood supply are very important elements of this."
1001,1001_t0042,LEHRER,13,13,1405.953,1408.974,3.021,Next question will be asked by Peter Jennings. It goes to the Governor.
1001,1001_t0043,JENNINGS,49,45,1410.154,1423.999,13.845,"Good evening, Mr. Vice President, Governor. Governor, one theme that keeps coming up about the way you govern – you’ve both mentioned leadership tonight, so I’d like to stay with that for a second. The theme that keeps coming up about the way you govern is passionless, technocratic –"
1001,1001_t0044,DUKAKIS,1,1,1424.54,1425.34,0.8,Passionless?
1001,1001_t0045,JENNINGS,106,103,1425.56,1465.912,40.352,"Passionless, technocratic, the smartest clerk in the world. Your critics maintain that in the 1960’s your public passion was not the war in Vietnam or civil rights, but no fault auto insurance. And they say in the 1970’s you played virtually no role in the painful busing crisis in Boston. Given the fact that a president must sometimes lead by sheer inspiration and passion. We need to know if this is a fair portrait of your governing or if it is a stereotype. And if it isn’t fair, give us an example of where you have had that passion and leadership that sometimes a president needs?"
1001,1001_t0046,LEHRER,5,5,1596.644,1597.945,1.301,"Mr. Vice President, a rebuttal."
1001,1001_t0047,BUSH,168,156,1599.586,1667.029,67.443,"Well, I don’t question his passion. I question – and I don’t question his concern about the war in Vietnam. He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war. Now, that’s a certain passion that in my view it’s misguided passion. He – we have a big difference on issues. You see, last year in the primary, he expressed his passion. He said, “I am a strong liberal Democrat” – August, ’87. Then he said, “I am a card-carrying member of the ACLU.” That was what he said. He is out there on out of the mainstream. He is very passionate. My argument with the governor is, do we want this country to go that far left. And I wish we had time to let me explain. But I salute him for his passion. We just have a big difference on where this country should be led, and in what direction it ought to go."
1001,1001_t0048,LEHRER,9,8,1669.531,1672.752,3.221,"Peter, a question? Question for the vice president, Peter."
1001,1001_t0049,JENNINGS,122,114,1673.763,1717.696,43.933,"I’d actually like to follow up if I may on this mention you’ve made of his card carrying membership in the American Civil Liberties Union. You’ve used the phrase “card carrying” so many times since Governor Dukakis first acknowledged that he was a card carrying member of the ACLU that some people have come to believe that you’ve used it to brand him in some way, to identify him as people were identified in the 1950’s as less than patriotic. I’d like to know why you keep repeating the phrase, and what’s the important issue here? What is so wrong with the governor being a member of an organization which has come to the defense of, among other people, Colonel Oliver North?"
1001,1001_t0050,BUSH,368,333,1718.126,1845.088,126.962,"Nothings wrong with it. But just take a look at the positions of the ACLU. But, Peter, please understand, the liberals do not like me talking about liberal They don’t like it when I say that he says he’s a card carrying member. Now, if that quote was wrong, he can repudiate it, right here. I’ve seen it authoritatively written twice, and if I’ve done him an injustice, and he didn’t say it, I’m very, very sorry. But I don’t agree with a lot of – most of the positions of the ACLU. I simply don’t want to see the ratings on movies. I don’t want my ten year old grandchild to go into an X-rated movie. I like those ratings systems. I don’t think they’re right to try to take the tax exemption away from the Catholic Church. I don’t want to see the kiddie pornographic laws repealed; I don’t want to see “under God” come out from our currency. Now, these are all positions of the ACLU. And I don’t agree with them. He has every right to exercise his passion, as what he said, a strong, progressive liberal. I don’t agree with that. I come from a different point. And I think I’m more in touch with the mainstream of America. They raised the same thing with me on the Pledge of Allegiance. You see, I’d have found a way to sign that bill. Governor Thompson of Illinois did. I’m not questioning his patriotism. He goes out and says the man is questioning my patriotism. And then all the liberal columnists join in. I am not. I am questioning his judgment on these matters, or where he’s coming from He has every right to do it. But I believe that’s not what the American people want, and when he said, when he said at the convention, ideology doesn’t matter, just competence, he was moving away from his own record, from what his passion has been over the years. And that’s all I’m trying to do, is put it in focus. And I hope people don’t think that I’m questioning his patriotism when I say he used his words to describe his participation in that organization."
1001,1001_t0051,LEHRER,3,2,1845.969,1846.93,0.961,"Governor, a response."
1001,1001_t0052,DUKAKIS,145,133,1847.742,1888.823,41.081,"Well, I hope this is the first and last time I have to say this. Of course, the vice president is questioning my patriotism. I don’t think there’s any question about that, and I resent it. I resent it. My parents came to this country as immigrants. They taught me that this was the greatest country in the world. I’m in public service because I love this country. I believe in it. And nobody’s going to question my patriotism as the vice president has now repeatedly. The fact of the matter is if the Pledge of Allegiance was the acid test of one’s patriotism–the vice president’s been the presiding officer in the United States Senate for the past seven and a half years. To the best of my knowledge he’s never once suggested that a session of the Senate begin with the Pledge of Allegiance."
1001,1001_t0053,DUKAKIS,85,81,1889.784,1924.307,34.523,"Mr. Bush, I don’t question your patriotism. When you’re attacked for your military record, I immediately said it was inappropriate, it had no place in this campaign, and I rejected it. I would hope that from this point on, we get to the issues that affect the vast majority of Americans, jobs, schools, health care, housing, the environment. Those are the concerns of the people that are watching us tonight. Not labels that we attach to each other, questions about each other’s patriotism and loyalty."
1001,1001_t0054,LEHRER,18,14,1924.507,1929.848,5.341,"The time is up, governor. Let’s go now to John Mashek, again. A question for the vice president."
1001,1001_t0055,MASHEK,69,66,1930.453,1955.773,25.32,"Mr. Vice President, in a debate during the Republican primaries, you said most of the nation’s homeless are suffering from mental illness, an assertion immediately challenged by one of your rivals. Estimates of the homeless range from a low of 250,000 by the government, to around three million, including working families and their children. What commitment are you willing to make tonight to this voiceless segment of our society?"
1001,1001_t0056,BUSH,282,257,1956.334,2051.16,94.826,"I want to see the McKinney Act fully funded. I believe that that would help in terms of shelter. I want to see – when I talked at our convention about a thousand points of light, I was talking about the enormous numbers of shelters and organizations that help. The governor’s wife has been very active in the homeless. My campaign chairman, Secretary Jim Baker’s wife. This isn’t government. These are people that care, that are trying to give of themselves. The government has a role. It is to fully fund the McKinney Act. There are certain army bases that the act calls for that can be used in certain cases to shelter people when it’s rough. And so I think that we’re on the right track. I don’t see this, incidentally, as a Democrat or a Republican or a liberal or conservative idea. I see an involvement by a thousand points of light. I see the funding that is required, and I hope the Congress will fully fund this bill. They gave it a great deal of conscience and a great deal of work. And we’re on the track on this one. But – and I, look, mental – that was a little overstated it. I’d say around 30 percent. And I think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out. Maybe we need to do a better job in mental clinics to help them. Because there is a major problem there. A lot of them are mentally sick. And we’ve got to attend to them. But fully, my short range answer is fully fund that McKinney Act."
1001,1001_t0057,LEHRER,3,2,2052.118,2052.999,0.881,"Governor, a response."
1001,1001_t0058,DUKAKIS,266,247,2053.359,2127.118,73.759,"Well, this is another fundamental difference that I have with the vice president, just as I do in the case of health care for 37 million members of working families in this country who don’t have health insurance. The problem, Mr. Bush, is that you’ve cut back by 90 percent on our commitment to affordable housing for families of low and moderate income. And when you do that, you’ve have homeless families. We didn’t have two and a half million, or three million homeless people living on streets and in doorways in this country ten years ago. We’ve got to begin to get back to the business of building and rehabilitating housing for families of low and moderate income in this country; housing for young families that they can look forward some day to buy. We’ve got communities in this country increasingly where our own kids can’t afford to live in the communities that they grew up in. That’s an essential commitment. And I think the housing community is ready. But it’s going to take a president who’s committed to housing, who’s had experience in building and rehabilitating housing who understands that affordable housing for families of low and moderate income, for young families, first time home buyers, is an essential part of the American dream. And while I’m all for the McKinney bill, that, by itself, simply won’t do. We’ve got to have a president that can lead on this issue, that can work with the Congress, and I’m prepared to do so. This is one of the most important priorities that faces this country."
1001,1001_t0059,LEHRER,6,6,2127.418,2128.558,1.14,"John, a question for the governor."
1001,1001_t0060,MASHEK,91,87,2129.292,2157.408,28.116,"Governor, you’ve mentioned the American dream of home ownership, and it’s certainly become an impossible one for many of the young people of our nation who are caught up in this economic squeeze of the middle class, as you’ve said so frequently during the campaign. And yet in spite of your answer just a few minutes ago, what promise can you realistically hold out to these people that with the costs of housing going up, and with limited help available from Washington, are we destined to become a nation of renters?"
1001,1001_t0061,DUKAKIS,374,348,2157.992,2273.159,115.167,"Well, I certainly hope not. And it’s all a question of what our priorities are. Mr. Bush talked about values. I agree with him. What are our values? Isn’t providing housing for families of low and moderate income, isn’t it making possible for young families, first time home buyers to own their own home some day something that’s part of the American dream? I think so. You know, back after World War II when we had hundreds of thousands of GIs who came back from the war, we didn’t sit around. We went out and built housing. The government was very much involved; so was the housing industry; so was the banking industry; so were housing advocates; so were non-profit agencies; so were governors and mayors and people all over this country who believe deeply in home ownership and affordable housing. Now, that’s the kind of leadership that I want to provide as president of the United States. This isn’t a question of a little charity for the homeless. This is a question of organizing the housing community. I’ve talked to bankers and builders and developers, the housing advocates, community development agencies, and they want leadership from Washington. Washington, by itself, can’t do it all. We shouldn’t expect that. But governors are ready; mayors are ready. Builders and community leaders are ready. It will require some funds, John. And we ought to be prepared to provide those funds. But that, too, will require some choices. Mr. Bush wants to spend billions and trillions on Star Wars. Well, that’s a choice we have to make, isn’t it? Do we spend money on that weapon system in the billions and trillions, or is providing some decent and affordable housing for families of this country something that is at least as important and probably more so. Because it’s so essential to our economic strength and to our future. Now, that’s the kind of presidency I believe in. And simply to say, well, the McKinney bill will do it just doesn’t do. We need a president who will lead on this issue, who has had experience on this issue. It’s the kind of priority that will be at the top of our list beginning in January of 1989."
1001,1001_t0062,LEHRER,5,0,2273.174,2273.231,0.057,"A response, Mr. Vice President."
1001,1001_t0063,BUSH,218,204,2273.245,2343.819,70.574,"I think the governor is blurring housing and the homeless. Let’s talk about housing which the question was. When you talk to those bankers, did they discuss where interest rates were when your party controlled the White House? Ten days before I took the oath of office as president they were 21 and a half percent. Now, how does that grab you for increasing housing? Housing is up. We are serving a million more families now. But we’re not going to do it in that old Democratic, liberal way of trying to build more bricks and mortars. Go out and take a look at St. Louis at some of that effort. It is wrong. I favor home ownership. I want to see more vouchers. I want to see control of some of these projects, and I want to keep the interest rates down. They’re half, now of what they were when we came into office, and with my policy of getting this deficit under control, they’ll be a lot less. But if we spend and spend and spend, that is going to wrap up the housing market, and we’ll go right back to the days of the misery index and malaise that President Reagan and I have overcome – thank God for the United States on that one."
1001,1001_t0064,LEHRER,14,10,2344.319,2347.948,3.629,"All right, the next question is to the governor. Ann Groer will ask it."
1001,1001_t0065,GROER,31,30,2348.393,2359.018,10.625,"Governor Dukakis, is there a conflict between your opposition to the death penalty and your support for abortion on demand, even though in the minds of many people, that’s also killing?"
